household_id,person_number,employment_status2code,lab_salary_raw,salary,salary_status,employment_status,salary_flag
386100990000013701,03,1,3000,3000,Reported,Employed,
386100990000013701,04,2,888888888,,Not applicable (not employed),Unemployed,
386100990000013701,05,3,888888888,,Not applicable (not employed),Not economically active,
386100990000013701,06,3,888888888,,Not applicable (not employed),Not economically active,
386100990000013701,07,3,888888888,,Not applicable (not employed),Not economically active,
386100990000019901,01,1,7000,7000,Reported,Employed,
386100990000026101,01,1,4400,4400,Reported,Employed,
386100990000026101,02,3,888888888,,Not applicable (not employed),Not economically active,
386100990000026101,03,3,888888888,,Not applicable (not employed),Not economically active,
386100990000026101,06,3,888888888,,Not applicable (not employed),Not economically active,
386100990000026101,07,3,888888888,,Not applicable (not employed),Not economically active,
386100990000026101,08,3,888888888,,Not applicable (not employed),Not economically active,
386101040000000501,01,1,5000,5000,Reported,Employed,
386101040000000501,02,3,888888888,,Not applicable (not employed),Not economically active,
386101040000002601,01,2,888888888,,Not applicable (not employed),Unemployed,
386101040000004701,01,2,888888888,,Not applicable (not employed),Unemployed,
386101040000006801,01,1,2400,2400,Reported,Employed,
386101040000006801,02,3,888888888,,Not applicable (not employed),Not economically active,
386101040000008901,01,2,888888888,,Not applicable (not employed),Unemployed,
386101040000008901,02,1,4600,4600,Reported,Employed,
386101040000008901,03,3,888888888,,Not applicable (not employed),Not economically active,
386101040000017301,01,2,888888888,,Not applicable (not employed),Unemployed,
386101040000017301,02,3,888888888,,Not applicable (not employed),Not economically active,
386101100000000201,02,3,888888888,,Not applicable (not employed),Not economically active,
386101100000000201,03,1,4000,4000,Reported,Employed,
386101100000000201,04,3,888888888,,Not applicable (not employed),Not economically active,
386101100000002001,01,3,888888888,,Not applicable (not employed),Not economically active,
386101100000002001,02,1,2640,2640,Reported,Employed,
386101100000002001,03,3,888888888,,Not applicable (not employed),Not economically active,
386101100000002001,07,1,7600,7600,Reported,Employed,
386101100000003801,02,1,2500,2500,Reported,Employed,
386101100000005601,01,3,888888888,,Not applicable (not employed),Not economically active,
386101100000005601,02,3,888888888,,Not applicable (not employed),Not economically active,
386101100000005601,07,1,4800,4800,Reported,Employed,
386101100000005601,08,1,10000,10000,Reported,Employed,
386101100000007401,01,1,5600,5600,Reported,Employed,
386101100000009201,01,1,6000,6000,Reported,Employed,
386101100000009201,02,3,888888888,,Not applicable (not employed),Not economically active,
386101100000009201,03,3,888888888,,Not applicable (not employed),Not economically active,
386101100000011001,01,2,888888888,,Not applicable (not employed),Unemployed,
386101100000012801,01,1,3500,3500,Reported,Employed,
460100100000001801,01,3,888888888,,Not applicable (not employed),Not economically active,
460100100000001801,02,3,888888888,,Not applicable (not employed),Not economically active,
460100100000001801,03,1,4000,4000,Reported,Employed,
460100100000001801,04,3,888888888,,Not applicable (not employed),Not economically active,
460100100000003401,01,3,888888888,,Not applicable (not employed),Not economically active,
460100100000003401,02,1,5000,5000,Reported,Employed,
460100100000003401,03,1,3200,3200,Reported,Employed,
460100100000003401,04,3,888888888,,Not applicable (not employed),Not economically active,
460100100000003401,05,3,888888888,,Not applicable (not employed),Not economically active,
460100100000005001,01,1,960,960,Reported,Employed,
460100100000005001,03,1,3500,3500,Reported,Employed,
460100100000006601,01,2,888888888,,Not applicable (not employed),Unemployed,
460100100000006601,02,3,888888888,,Not applicable (not employed),Not economically active,
460100100000006601,03,3,888888888,,Not applicable (not employed),Not economically active,
460100100000008201,01,2,888888888,,Not applicable (not employed),Unemployed,
460100100000008201,02,2,888888888,,Not applicable (not employed),Unemployed,
460100100000009801,01,2,888888888,,Not applicable (not employed),Unemployed,
460100100000009801,02,2,888888888,,Not applicable (not employed),Unemployed,
460100100000009801,03,2,888888888,,Not applicable (not employed),Unemployed,
460100100000011401,01,3,888888888,,Not applicable (not employed),Not economically active,
460100100000011401,02,3,888888888,,Not applicable (not employed),Not economically active,
460100100000011401,03,3,888888888,,Not applicable (not employed),Not economically active,
460100100000016201,01,2,888888888,,Not applicable (not employed),Unemployed,
460100100000016201,02,3,888888888,,Not applicable (not employed),Not economically active,
460100100000017801,01,1,3500,3500,Reported,Employed,
461100980000001801,01,1,5257,5257,Reported,Employed,
461100980000004601,01,1,13000,13000,Reported,Employed,
461100980000004601,02,3,888888888,,Not applicable (not employed),Not economically active,
461100980000004601,03,3,888888888,,Not applicable (not employed),Not economically active,
461100980000007401,01,1,632,632,Reported,Employed,
461100980000013001,01,1,5000,5000,Reported,Employed,
461100980000013001,02,3,888888888,,Not applicable (not employed),Not economically active,
461100980000015801,01,1,6958,6958,Reported,Employed,
461100980000018601,01,1,13352,13352,Reported,Employed,
461100980000018601,02,1,6958,6958,Reported,Employed,
461101200000002401,02,3,888888888,,Not applicable (not employed),Not economically active,
461101200000005601,01,1,6500,6500,Reported,Employed,
461101200000008801,01,1,8000,8000,Reported,Employed,
461101200000008801,02,3,888888888,,Not applicable (not employed),Not economically active,
461101200000012001,02,1,360,360,Reported,Employed,
461101200000015201,02,3,888888888,,Not applicable (not employed),Not economically active,
461101200000024801,02,3,888888888,,Not applicable (not employed),Not economically active,
461101200000024801,03,3,888888888,,Not applicable (not employed),Not economically active,
461101200000024801,04,3,888888888,,Not applicable (not employed),Not economically active,
461101200000031201,01,1,8000,8000,Reported,Employed,
461101200000031201,02,1,10000,10000,Reported,Employed,
461101200000034401,01,3,888888888,,Not applicable (not employed),Not economically active,
461101780000011601,01,3,888888888,,Not applicable (not employed),Not economically active,
461101780000011601,03,3,888888888,,Not applicable (not employed),Not economically active,
461101780000021201,01,1,500000,500000,Reported,Employed,
461101780000021201,02,1,150000,150000,Reported,Employed,
461101780000024401,01,1,940,940,Reported,Employed,
461101780000024401,02,2,888888888,,Not applicable (not employed),Unemployed,
461101780000024401,03,1,3700,3700,Reported,Employed,
461101780000027601,01,1,1200,1200,Reported,Employed,
462100010000002001,01,1,10000,10000,Reported,Employed,
462100010000029001,01,1,4200,4200,Reported,Employed,
462100010000029001,02,2,888888888,,Not applicable (not employed),Unemployed,
462100010000038001,01,1,2400,2400,Reported,Employed,
462100010000038001,02,2,888888888,,Not applicable (not employed),Unemployed,
462100080000000301,01,1,1400,1400,Reported,Employed,
462100080000000301,02,3,888888888,,Not applicable (not employed),Not economically active,
462100080000000301,03,2,888888888,,Not applicable (not employed),Unemployed,
462100080000001801,01,1,2500,2500,Reported,Employed,
462100080000001801,02,2,888888888,,Not applicable (not employed),Unemployed,
462100080000003301,01,1,960,960,Reported,Employed,
462100080000004801,01,1,880,880,Reported,Employed,
462100080000006301,01,3,888888888,,Not applicable (not employed),Not economically active,
462100080000006301,02,2,888888888,,Not applicable (not employed),Unemployed,
462100080000006301,03,3,888888888,,Not applicable (not employed),Not economically active,
462100080000007801,01,3,888888888,,Not applicable (not employed),Not economically active,
462100080000007801,02,3,888888888,,Not applicable (not employed),Not economically active,
462100080000007801,03,2,888888888,,Not applicable (not employed),Unemployed,
462100080000007801,04,3,888888888,,Not applicable (not employed),Not economically active,
462100080000012301,01,2,888888888,,Not applicable (not employed),Unemployed,
462100080000016801,01,1,1500,1500,Reported,Employed,
462100510000001501,01,1,500,500,Reported,Employed,
462100510000001501,02,2,888888888,,Not applicable (not employed),Unemployed,
462100510000003701,01,1,960,960,Reported,Employed,
462100510000003701,02,1,1800,1800,Reported,Employed,
462100510000003701,03,3,888888888,,Not applicable (not employed),Not economically active,
462100510000005901,01,1,960,960,Reported,Employed,
462100510000008101,01,3,888888888,,Not applicable (not employed),Not economically active,
462100510000008101,02,2,888888888,,Not applicable (not employed),Unemployed,
462100510000010301,01,1,2600,2600,Reported,Employed,
462100510000012501,01,1,960,960,Reported,Employed,
462100510000012501,02,1,960,960,Reported,Employed,
462100840000001701,01,1,1667,1667,Reported,Employed,
462100840000007101,01,2,888888888,,Not applicable (not employed),Unemployed,
462100840000008901,02,3,888888888,,Not applicable (not employed),Not economically active,
462100840000010701,01,1,6000,6000,Reported,Employed,
462100840000010701,02,3,888888888,,Not applicable (not employed),Not economically active,
462100840000012501,01,1,10000,10000,Reported,Employed,
462100840000014301,01,3,888888888,,Not applicable (not employed),Not economically active,
462100840000014301,02,2,888888888,,Not applicable (not employed),Unemployed,
462100840000014301,03,2,888888888,,Not applicable (not employed),Unemployed,
462100840000016101,01,3,888888888,,Not applicable (not employed),Not economically active,
462100840000017901,01,1,10000,10000,Reported,Employed,
462100840000019701,01,1,500,500,Reported,Employed,
462100840000019701,02,2,888888888,,Not applicable (not employed),Unemployed,
463100020000001101,02,1,2600,2600,Reported,Employed,
463100020000005301,01,1,2000,2000,Reported,Employed,
463100020000005301,02,2,888888888,,Not applicable (not employed),Unemployed,
463100020000007401,02,2,888888888,,Not applicable (not employed),Unemployed,
463100020000007401,03,3,888888888,,Not applicable (not employed),Not economically active,
463100020000007401,04,3,888888888,,Not applicable (not employed),Not economically active,
463100020000009501,01,1,14000,14000,Reported,Employed,
463100020000009501,02,2,888888888,,Not applicable (not employed),Unemployed,
463100020000009501,03,3,888888888,,Not applicable (not employed),Not economically active,
463100020000013701,01,1,2100,2100,Reported,Employed,
463100020000013701,02,3,888888888,,Not applicable (not employed),Not economically active,
463100020000020001,01,1,29000,29000,Reported,Employed,
463100020000022101,01,1,20000,20000,Reported,Employed,
463100020000022101,02,1,7500,7500,Reported,Employed,
463100020000022101,03,3,888888888,,Not applicable (not employed),Not economically active,
463100600000001001,02,3,888888888,,Not applicable (not employed),Not economically active,
463100600000003101,01,1,2500,2500,Reported,Employed,
463100600000003101,02,2,888888888,,Not applicable (not employed),Unemployed,
463100600000003101,03,2,888888888,,Not applicable (not employed),Unemployed,
463100600000003101,05,3,888888888,,Not applicable (not employed),Not economically active,
463100600000003101,06,3,888888888,,Not applicable (not employed),Not economically active,
463100600000005201,01,1,2000,2000,Reported,Employed,
463100600000005201,02,2,888888888,,Not applicable (not employed),Unemployed,
463100600000005201,03,3,888888888,,Not applicable (not employed),Not economically active,
463100600000009401,01,1,3600,3600,Reported,Employed,
463100600000009401,02,1,960,960,Reported,Employed,
463100600000011501,03,1,960,960,Reported,Employed,
463100600000011501,04,2,888888888,,Not applicable (not employed),Unemployed,
463100600000011501,05,2,888888888,,Not applicable (not employed),Unemployed,
463100600000011501,06,3,888888888,,Not applicable (not employed),Not economically active,
463100600000013601,01,3,888888888,,Not applicable (not employed),Not economically active,
463100600000013601,02,1,960,960,Reported,Employed,
463100600000015701,01,2,888888888,,Not applicable (not employed),Unemployed,
463100600000015701,02,3,888888888,,Not applicable (not employed),Not economically active,
464100770000007001,01,3,888888888,,Not applicable (not employed),Not economically active,
464100770000007001,02,2,888888888,,Not applicable (not employed),Unemployed,
464100770000008601,01,3,888888888,,Not applicable (not employed),Not economically active,
464100770000008601,02,3,888888888,,Not applicable (not employed),Not economically active,
464100770000010201,01,1,21000,21000,Reported,Employed,
464100770000010201,02,3,888888888,,Not applicable (not employed),Not economically active,
464100770000011801,01,1,2000,2000,Reported,Employed,
464100770000013401,01,1,2997,2997,Reported,Employed,
464100780000001301,01,3,888888888,,Not applicable (not employed),Not economically active,
464100780000001301,02,3,888888888,,Not applicable (not employed),Not economically active,
464100780000002901,02,3,888888888,,Not applicable (not employed),Not economically active,
464100780000004501,01,2,888888888,,Not applicable (not employed),Unemployed,
464100780000004501,02,3,888888888,,Not applicable (not employed),Not economically active,
464100780000007701,01,3,888888888,,Not applicable (not employed),Not economically active,
464100780000007701,02,3,888888888,,Not applicable (not employed),Not economically active,
464100780000007701,03,1,6958,6958,Reported,Employed,
464100780000007701,04,3,888888888,,Not applicable (not employed),Not economically active,
464100780000009301,01,3,888888888,,Not applicable (not employed),Not economically active,
464100780000009301,02,1,736,736,Reported,Employed,
464100780000009301,03,2,888888888,,Not applicable (not employed),Unemployed,
464101230000000701,01,1,736,736,Reported,Employed,
464101230000003401,01,1,5257,5257,Reported,Employed,
464101230000003401,02,3,888888888,,Not applicable (not employed),Not economically active,
464101230000006101,01,3,888888888,,Not applicable (not employed),Not economically active,
464101230000006101,02,1,6958,6958,Reported,Employed,
464101230000008801,01,1,9475,9475,Reported,Employed,
464101230000008801,02,3,888888888,,Not applicable (not employed),Not economically active,
464101230000011501,01,3,888888888,,Not applicable (not employed),Not economically active,
464101230000011501,02,1,21583,21583,Reported,Employed,
464101230000011501,03,3,888888888,,Not applicable (not employed),Not economically active,
464101230000014201,01,1,5257,5257,Reported,Employed,
464101230000014201,02,2,888888888,,Not applicable (not employed),Unemployed,
464101230000016901,01,1,2997,2997,Reported,Employed,
464101270000002501,01,3,888888888,,Not applicable (not employed),Not economically active,
464101270000002501,02,3,888888888,,Not applicable (not employed),Not economically active,
464101270000008301,01,1,2008,2008,Reported,Employed,
464101270000008301,02,2,888888888,,Not applicable (not employed),Unemployed,
464101270000008301,03,2,888888888,,Not applicable (not employed),Unemployed,
464101270000008301,04,3,888888888,,Not applicable (not employed),Not economically active,
464101270000011201,01,1,7500,7500,Reported,Employed,
464101270000014101,01,2,888888888,,Not applicable (not employed),Unemployed,
464101300000000401,01,3,888888888,,Not applicable (not employed),Not economically active,
464101300000000401,02,2,888888888,,Not applicable (not employed),Unemployed,
464101300000000401,03,2,888888888,,Not applicable (not employed),Unemployed,
465100170000003501,01,3,888888888,,Not applicable (not employed),Not economically active,
465100170000003501,02,3,888888888,,Not applicable (not employed),Not economically active,
465100170000005401,01,1,2700,2700,Reported,Employed,
465100170000007301,01,3,888888888,,Not applicable (not employed),Not economically active,
465100170000009201,02,3,888888888,,Not applicable (not employed),Not economically active,
465100170000009201,03,3,888888888,,Not applicable (not employed),Not economically active,
465100170000009201,04,3,888888888,,Not applicable (not employed),Not economically active,
465100170000009201,05,3,888888888,,Not applicable (not employed),Not economically active,
465100170000009201,06,3,888888888,,Not applicable (not employed),Not economically active,
465100170000009201,07,3,888888888,,Not applicable (not employed),Not economically active,
465100170000011101,01,1,1249,1249,Reported,Employed,
465100170000011101,02,3,888888888,,Not applicable (not employed),Not economically active,
465100170000013001,01,1,3000,3000,Reported,Employed,
