household_id,person_number,education_level_code,education_attendance_code,institution_type_code,reason_not_attending_code,education_level_flag,education_attendance_flag,education_level,education_attendance,institution_type,reason_not_attending
199137950000006101,05,10,2,88,8,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Education useless / not interesting
199137950000006101,06,9,1,2,88,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,Yes,School (Grade R-12),Not applicable
199137950000007601,01,11,2,88,6,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,"Working (at home, business or job)"
199137950000007601,02,10,2,88,7,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Family commitment (e.g. child minding)
199137950000009101,01,11,2,88,1,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Too old/young
199137950000009101,02,9,2,88,1,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Too old/young
199137950000010601,01,10,2,88,1,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Too old/young
199137950000010601,02,12,2,88,7,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Family commitment (e.g. child minding)
199137950000010601,03,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
199137950000010601,04,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199138030000004501,02,9,1,2,88,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,Yes,School (Grade R-12),Not applicable
199138030000006301,01,24,2,88,6,NA,NA,Bachelor's Degree/Occupational Cert NQF 7,No,Not applicable,"Working (at home, business or job)"
199138030000006301,02,24,2,88,6,NA,NA,Bachelor's Degree/Occupational Cert NQF 7,No,Not applicable,"Working (at home, business or job)"
199138030000008101,01,4,2,88,1,NA,NA,Grade 4/Standard 2,No,Not applicable,Too old/young
199138030000008101,02,9,2,88,7,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Family commitment (e.g. child minding)
199138030000008101,03,9,2,88,1,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Too old/young
199138030000008101,07,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
199138030000011701,03,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199138030000015301,01,8,2,88,1,NA,NA,Grade 8/Standard 6/Form 1,No,Not applicable,Too old/young
199138030000015301,02,12,2,88,16,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Not accepted for enrolment
199138030000015301,03,12,2,88,16,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Not accepted for enrolment
199138030000015301,04,10,1,2,88,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,Yes,School (Grade R-12),Not applicable
199138030000015301,05,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199138030000020701,01,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199138030000020701,02,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199138030000020701,03,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199138220000001701,01,6,2,88,5,NA,NA,Grade 6/Standard 4,No,Not applicable,No money for fees
199138220000001701,02,7,2,88,5,NA,NA,Grade 7/Standard 5/ABET/AET 3,No,Not applicable,No money for fees
199138220000008301,01,8,2,88,5,NA,NA,Grade 8/Standard 6/Form 1,No,Not applicable,No money for fees
199138220000008301,02,9,2,88,5,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,No money for fees
199138460000004501,01,11,2,88,6,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,"Working (at home, business or job)"
199138460000004501,02,11,2,88,1,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Too old/young
199138460000004501,03,24,2,88,6,NA,NA,Bachelor's Degree/Occupational Cert NQF 7,No,Not applicable,"Working (at home, business or job)"
199138460000004501,04,12,2,88,16,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Not accepted for enrolment
199138460000004501,05,10,1,2,88,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,Yes,School (Grade R-12),Not applicable
199138460000007601,02,8,2,88,1,NA,NA,Grade 8/Standard 6/Form 1,No,Not applicable,Too old/young
199138460000007601,03,11,2,88,6,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,"Working (at home, business or job)"
199138460000007601,04,22,2,88,2,NA,NA,Diploma with Grade 12/Occupational Cert NQF 6,No,Not applicable,Completed education / satisfied / doesn't want to study
199138460000010701,01,9,2,88,6,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,"Working (at home, business or job)"
199138460000010701,02,9,2,88,7,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Family commitment (e.g. child minding)
199138460000010701,03,9,2,88,16,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Not accepted for enrolment
199138460000010701,04,9,2,88,1,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Too old/young
199138460000013801,01,7,2,88,1,NA,NA,Grade 7/Standard 5/ABET/AET 3,No,Not applicable,Too old/young
199138460000013801,02,9,2,88,1,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Too old/young
199138460000013801,03,11,1,2,88,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,Yes,School (Grade R-12),Not applicable
199138460000016901,01,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199138460000016901,02,12,2,88,7,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Family commitment (e.g. child minding)
199138460000016901,03,10,2,88,6,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,"Working (at home, business or job)"
199138460000016901,06,10,2,88,1,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Too old/young
199138460000020001,01,5,2,88,1,NA,NA,Grade 5/Standard 3/ABET/AET 2,No,Not applicable,Too old/young
199138460000020001,02,12,2,88,9,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Unable to perform at school
199138460000020001,03,10,2,88,9,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Unable to perform at school
199138460000020001,04,11,2,88,4,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Difficulty getting there (transport)
199138460000020001,05,9,1,2,88,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,Yes,School (Grade R-12),Not applicable
199138460000023101,01,12,2,88,1,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Too old/young
199138460000023101,02,12,2,88,1,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Too old/young
199138460000023101,03,11,2,88,6,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,"Working (at home, business or job)"
199138710000002201,02,7,2,88,1,NA,NA,Grade 7/Standard 5/ABET/AET 3,No,Not applicable,Too old/young
199138710000002201,03,11,2,88,1,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Too old/young
199138710000004501,01,10,2,88,1,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Too old/young
199138710000006801,01,12,2,88,1,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Too old/young
199138710000006801,02,10,2,88,5,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,No money for fees
199138710000006801,03,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
199138710000009101,01,10,2,88,1,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Too old/young
199138710000009101,02,10,2,88,6,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,"Working (at home, business or job)"
199138710000009101,03,11,2,88,12,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Failed exams
199138710000013701,01,10,2,88,6,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,"Working (at home, business or job)"
199138710000013701,02,10,2,88,1,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Too old/young
199138990000000401,02,12,2,88,11,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Pregnancy
199138990000000401,03,9,2,88,1,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Too old/young
199138990000006201,01,22,2,88,2,NA,NA,Diploma with Grade 12/Occupational Cert NQF 6,No,Not applicable,Completed education / satisfied / doesn't want to study
199138990000006201,02,11,2,88,7,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Family commitment (e.g. child minding)
199138990000012001,01,21,2,88,2,NA,NA,Higher/National/Advanced Certificate with Grade 12/NQF 5,No,Not applicable,Completed education / satisfied / doesn't want to study
199138990000012001,02,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
199138990000014901,03,11,1,2,88,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,Yes,School (Grade R-12),Not applicable
199138990000014901,05,10,2,88,2,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Completed education / satisfied / doesn't want to study
199139150000002001,01,24,2,88,2,NA,NA,Bachelor's Degree/Occupational Cert NQF 7,No,Not applicable,Completed education / satisfied / doesn't want to study
199139150000002001,02,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
199139150000002001,03,10,1,2,88,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,Yes,School (Grade R-12),Not applicable
199139150000010401,01,24,2,88,5,NA,NA,Bachelor's Degree/Occupational Cert NQF 7,No,Not applicable,No money for fees
199139150000010401,02,20,2,88,5,NA,NA,Diploma less than Grade 12,No,Not applicable,No money for fees
199139150000010401,03,9,1,2,88,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,Yes,School (Grade R-12),Not applicable
199139150000024401,01,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
199139150000024401,02,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
199139240000006101,01,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
199139240000006101,02,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
199139240000009401,01,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
199139240000012701,01,21,2,88,2,NA,NA,Higher/National/Advanced Certificate with Grade 12/NQF 5,No,Not applicable,Completed education / satisfied / doesn't want to study
199139240000012701,02,21,2,88,2,NA,NA,Higher/National/Advanced Certificate with Grade 12/NQF 5,No,Not applicable,Completed education / satisfied / doesn't want to study
